"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5602Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5602Aligned.sortedByCoord.out.bam"
"LINC00115",-0.871048872750422,-0.48490802436769,-0.0203968912614021,0.652981425888023,0.255937133132893,0.467435229358598
"ENSG00000288531",-0.775069496474892,-0.82816869593524,-0.097386270631965,0.351297210679584,0.751802277110615,0.597524975251898
"ENSG00000272438",-0.866040866298628,-0.929447119881679,0.712503128448214,-0.130229844868859,0.333265474335098,0.879949228265855
"ENSG00000230699",-0.40892241175036,-0.451155806498687,0.0779921986223195,-0.0128080215655721,0.208678443422994,0.586215597769307
"LINC02593",-0.374372924445552,-0.524506732706349,-0.082621379725623,-0.621370147424078,0.758881650522282,0.843989533779323
"SAMD11",-0.560427716209746,-0.695727592130878,-0.011059354817073,-0.356254303771498,0.652994290841978,0.970474676087218
"NOC2L",0.106082589980359,-0.134639264470003,-0.0946820653963609,0.157742348483833,-0.0376283685486989,0.0031247599508708
"KLHL17",-0.25141445634075,-0.354599693244763,-0.187176869351368,0.295658768788549,0.140156629971234,0.357375620177098
"PLEKHN1",0.484028060706449,-0.929692166529626,-0.809310308039206,1.25653800526642,-0.545407458035045,0.54384386663101
"ENSG00000272512",-0.841389330491069,-0.212799350394986,-0.694207796073077,0.0423960799329861,0.131457294647183,1.57454310237896
"HES4",-0.825629106394932,-0.588165939858196,-0.187569975651683,0.721452477846376,-0.00402337427407273,0.883935918332508
"ISG15",0.20718226875771,-0.13366506971306,-0.0392622266600283,0.473982956007505,-0.0738972536687683,-0.434340674723357
"AGRN",-0.20807705839017,-0.0785605117255308,0.0239126335725537,-0.154137004844124,-0.0301127038081166,0.446974645195391
"ENSG00000217801",-0.626535091796997,-0.0827947391663817,0.438078483088722,0.445975755457978,0.0309651488972147,-0.205689556480537
"C1orf159",-0.0185394197206974,-0.0509788421671109,-0.172177169852503,0.0557638579517099,0.0537470773240014,0.132184496464601
"SDF4",0.252623887412208,-0.0104764651071285,-0.276025350684305,0.0432168355014335,0.0973547931047003,-0.106693700226906
"B3GALT6",0.0696974000162838,0.0120490926198071,-0.0901232231449036,-0.0293639690729899,-0.0705598260943585,0.108300525676163
"C1QTNF12",-0.496883000794518,0.104760357958702,0.101904456675874,-0.0222891195598258,0.387419056336286,-0.0749117506165187
"UBE2J2",0.0541609252682829,-0.0406659855970046,-0.00826278820796755,-0.132322719718732,0.00298121501653448,0.124109353238889
"LINC01786",0.0553569167229645,-0.369474937744514,0.0595625142311875,0.0553955357387471,0.261374765278336,-0.0622147942267209
"SCNN1D",-0.0407789462973493,-0.392925113581862,0.0923482888016993,-0.035894914794798,0.183258744536798,0.193991941335513
"ACAP3",-0.238247728063237,-0.290431526019218,-0.0826958041787664,0.287182438593409,-0.0665069869302828,0.390699606598099
"PUSL1",-0.254999319535223,0.000166008758208713,-0.106795128392523,0.118805582299964,0.207857427656852,0.0349654292127231
"INTS11",0.0209056278559983,-0.107465438367368,-0.162826554812685,-0.00425412210831411,0.0304305823758666,0.223209905056502
"ENSG00000240731",0.386826279248223,-0.75392910484543,-0.122534991494747,0.252661725768376,0.261821342446876,-0.0248452511232973
"CPTP",0.0892079136986048,-0.258310001938518,-0.25268377937793,0.21536617394977,0.0383833413825192,0.168036352285559
"TAS1R3",-0.0387307002790307,-0.750968667104495,-0.502829561046412,0.707662755961447,0.102672196030506,0.482193976437984
"DVL1",-0.15918627395657,-0.17505683584639,0.0348345066305376,0.266567341649362,-0.0982907371506165,0.131131998673678
"MXRA8",0.550684974929048,-0.143456652118164,-0.272610227604247,-0.406482655551273,0.555903198560299,-0.284038638215661
"AURKAIP1",0.162907260557848,-0.288053775107781,-0.203263398553105,0.355053861783347,-0.20320720642608,0.176563257745772
"CCNL2",0.181616922192363,-0.0594912451683998,-0.163390560034909,-0.33786668126718,0.163867207316549,0.215264356961581
"MRPL20-AS1",-0.154508328344815,-0.342482051308814,-0.389911777954792,0.147224455563141,0.109194143262411,0.63048355878287
"MRPL20",0.262203444688166,-0.0105576209862521,-0.123473947030636,-0.0206599630988373,0.0427711317762087,-0.150283045348646
"ANKRD65",-0.135178393706481,-0.117257991398688,0.429389002517981,0.629326675480796,-0.0632030993013315,-0.743076193592278
"TMEM88B",1.48355329443148,0.242668233917095,-0.496200242763437,-0.0987466769203167,1.14909353715909,-2.28036814582391
"VWA1",0.998155731385606,0.400587902297293,-0.188471976988297,-1.16147765110853,0.586118580335491,-0.634912585921563
"ATAD3C",0.72718795009989,0.588967965643227,0.0481020811980961,-1.34864605154395,0.89250376980256,-0.908115715199828
