"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.GIBCO_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.TCLAB_D35Aligned.sortedByCoord.out.bam"
"ENSG00000267284",-0.5349349,0.3513786,0.2531713,0.7772992,-0.2976002,1.286672,-0.006727183,-0.08069703,-1.748562
"ENSG00000267327",-1.363297,-0.1476213,-0.7095739,-0.01546089,0.2280785,2.30531,0.4367416,0.3799556,-1.114133
"ENSG00000287248",-2.235726,0.02335628,-0.4758736,0.1679633,0.3624504,1.917465,0.5674643,0.8873717,-1.214472
"TXNL1",0.005230126,0.2544852,0.2004749,-0.4249333,0.1254792,-0.3785455,0.05109253,0.2290546,-0.06233781
"WDR7",0.2531827,0.1236193,0.204556,-0.01629385,0.2214202,-0.1576355,-0.1545651,-0.2665931,-0.2076906
"ST8SIA3",0.3937854,-0.3605648,0.3947717,0.1690882,0.5678191,0.1024244,-0.149217,-1.479538,0.3614308
"ONECUT2",0.3241754,-0.1865615,0.6037331,0.3411768,0.4938303,0.08673695,-0.2702408,-1.211187,-0.1816628
"FECH",0.6470036,0.3375371,0.592687,0.1103006,0.2138613,-0.6051564,0.125113,-0.5025173,-0.918829
"NARS1",-0.2990274,-0.1353591,-0.2587492,0.02200507,0.2873685,-0.2215871,-0.05334746,0.436815,0.2218817
"ENSG00000267040",-0.3524941,0.1668556,-0.305336,0.1699526,0.3460776,0.6371866,-0.05061832,-0.3103237,-0.3013004
"ENSG00000267787",0.2561385,-0.1868582,-0.1034182,-0.9308961,0.2040823,0.7897405,0.07682958,0.358788,-0.4644063
"NEDD4L",0.006554704,-0.2718573,0.1475545,-0.06558788,0.5584094,0.220961,0.09305523,-0.8835066,0.194417
"ENSG00000267504",-0.1161545,-0.5987673,-0.3631675,-0.4762447,0.879053,0.3855793,0.258806,-0.1279021,0.1587977
"MALT1",-0.2805093,-0.2303128,-0.08487956,0.1244715,-0.06476497,0.6267006,-0.4050154,-0.06792517,0.3822351
"MRPL37P1",-0.5905676,0.0287529,0.05160834,-0.08653798,-0.147033,0.5376788,-0.4673598,0.6893986,-0.01594028
"ZNF532",0.2850803,-0.04046324,0.1271294,-0.1377388,0.1399145,-0.3864724,0.2999254,-0.1175034,-0.1698718
"SEC11C",0.4950103,0.2989202,0.5498834,-0.8211339,0.6665574,-0.6040847,0.2461624,-0.225758,-0.605557
"LMAN1",-0.03476094,0.1324997,-0.09536797,0.2448961,-0.2437437,-0.1613299,-0.2606009,0.2396697,0.178738
"CCBE1",2.112067,1.112347,0.8933468,1.398873,0.1758915,-1.298244,0.04087613,-1.610977,-2.82418
